# AntA,AntB,PadA,PadB,length(m)
6,7,1,2,9.47602
1,8,5,6,9.59320
3,5,4,3,9.70237
1,3,5,4,16.44285
5,7,3,2,16.45342
6,8,1,6,16.47244
3,8,4,6,19.03502
7,8,2,6,19.03838
3,7,4,2,19.10281
5,6,3,1,25.12753
3,6,4,1,25.19018
1,6,5,1,25.23091
1,7,5,2,25.23899
5,8,3,6,25.24984
1,5,5,3,25.29351
4,5,8,3,42.56308
1,2,5,23,44.77095
3,4,4,8,45.36816
2,3,23,4,48.11998
2,8,23,6,54.28019
2,5,23,3,56.03307
2,4,23,8,56.68141
4,7,8,2,58.77989
1,4,5,8,59.33204
4,8,8,6,64.28397
2,7,23,2,66.13456
4,6,8,1,67.64927
2,6,23,1,69.08141
