# Ant1, Ant2, East dist (m), North dist (m), Up dist (m)
1, 2, 5.076167, -17.113987, -0.071532
1, 3, -42.850303, 4.215306, -4.742062
1, 4, -28.512619, -43.669688, -2.723829
1, 5, -38.721945, -23.425074, -3.184068
1, 6, 25.151705, -1.377407, 0.043712
1, 7, 6.167213, 15.242603, -0.025762
1, 8, -34.404588, 32.986241, -6.611735
2, 3, -47.926470, 21.329293, -4.670530
2, 4, -33.588786, -26.555700, -2.652297
2, 5, -43.798112, -6.311087, -3.112536
2, 6, 20.075538, 15.736581, 0.115244
2, 7, 1.091046, 32.356591, 0.045770
2, 8, -39.480755, 50.100228, -6.540203
3, 4, 14.337684, -47.884994, 2.018233
3, 5, 4.128358, -27.640381, 1.557993
3, 6, 68.002008, -5.592713, 4.785774
3, 7, 49.017516, 11.027297, 4.716300
3, 8, 8.445715, 28.770935, -1.869673
4, 5, -10.209326, 20.244613, -0.460239
4, 6, 53.664324, 42.292281, 2.767541
4, 7, 34.679832, 58.912291, 2.698067
4, 8, -5.891969, 76.655928, -3.887906
5, 6, 63.873650, 22.047668, 3.227780
5, 7, 44.889158, 38.667678, 3.158306
5, 8, 4.317357, 56.411315, -3.427667
6, 7, -18.984492, 16.620010, -0.069474
6, 8, -59.556293, 34.363648, -6.655447
7, 8, -40.571801, 17.743638, -6.585973
