# Ant1, Ant2, East dist (m), North dist (m), Up dist (m)
1, 2, 6.167936, 15.242090, -0.025696
1, 3, -1.873246, 33.187051, -5.103225
1, 4, -28.512619, -43.669688, -2.723829
1, 5, -42.849049, 4.216279, -4.744070
1, 6, 25.151705, -1.377407, 0.043712
1, 8, -34.404588, 32.986241, -6.611735
2, 3, -8.041182, 17.944962, -5.077529
2, 4, -34.680555, -58.911777, -2.698133
2, 5, -49.016985, -11.025811, -4.718374
2, 6, 18.983769, -16.619496, 0.069408
2, 8, -40.572524, 17.744151, -6.586039
3, 4, -26.639373, -76.856739, 2.379396
3, 5, -40.975803, -28.970772, 0.359155
3, 6, 27.024951, -34.564458, 5.146937
3, 8, -32.531342, -0.200810, -1.508510
4, 5, -14.336430, 47.885966, -2.020241
4, 6, 53.664324, 42.292281, 2.767541
4, 8, -5.891969, 76.655928, -3.887906
5, 6, 68.000754, -5.593686, 4.787782
5, 8, 8.444461, 28.769962, -1.867665
6, 8, -59.556293, 34.363648, -6.655447
