# Ant1, Ant2, East dist (m), North dist (m), Up dist (m)
1, 3, -45.216904, 110.366830, -1.092347
1, 4, 65.594522, 112.588429, 5.596661
1, 5, 79.930908, 64.703397, 7.615903
1, 6, 133.595291, 106.995193, 10.383870
1, 7, -3.163171, 225.965103, -1.402585
1, 8, 62.046536, 202.530394, -0.457641
3, 4, 110.811426, 2.221599, 6.689009
3, 5, 125.147812, -45.663433, 8.708250
3, 6, 178.812195, -3.371637, 11.476217
3, 7, 42.053733, 115.598273, -0.310238
3, 8, 107.263440, 92.163563, 0.634706
4, 5, 14.336386, -47.885032, 2.019242
4, 6, 68.000769, -5.593235, 4.787209
4, 7, -68.757693, 113.376674, -6.999247
4, 8, -3.547986, 89.941965, -6.054302
5, 6, 53.664383, 42.291797, 2.767967
5, 7, -83.094079, 161.261706, -9.018488
5, 8, -17.884372, 137.826997, -8.073544
6, 7, -136.758462, 118.969910, -11.786455
6, 8, -71.548755, 95.535200, -10.841511
7, 8, 65.209707, -23.434710, 0.944944
