# Ant1, Ant2, East dist (m), North dist (m), Up dist (m)
1, 2, -40.573425, 17.744095, -6.586541
1, 3, -6.168325, -15.241993, 0.027059
1, 4, -44.889420, -38.668625, -3.157296
1, 5, -4.759929, -24.841590, 0.013306
1, 6, 18.984144, -16.619155, 0.069580
1, 7, 11.519689, -22.456649, 0.045809
1, 8, 8.891803, -3.600503, 0.042064
2, 3, 34.405100, -32.986088, 6.613600
2, 4, -4.315995, -56.412720, 3.429245
2, 5, 35.813496, -42.585686, 6.599847
2, 6, 59.557569, -34.363250, 6.656121
2, 7, 52.093114, -40.200744, 6.632350
2, 8, 49.465228, -21.344598, 6.628605
3, 4, -38.721095, -23.426631, -3.184355
3, 5, 1.408396, -9.599597, -0.013753
3, 6, 25.152469, -1.377162, 0.042520
3, 7, 17.688014, -7.214655, 0.018749
3, 8, 15.060128, 11.641490, 0.015004
4, 5, 40.129491, 13.827034, 3.170602
4, 6, 63.873564, 22.049469, 3.226876
4, 7, 56.409109, 16.211976, 3.203104
4, 8, 53.781223, 35.068122, 3.199360
5, 6, 23.744073, 8.222435, 0.056274
5, 7, 16.279618, 2.384942, 0.032502
5, 8, 13.651732, 21.241088, 0.028758
6, 7, -7.464455, -5.837493, -0.023771
6, 8, -10.092341, 13.018653, -0.027516
7, 8, -2.627886, 18.856146, -0.003745
