# Ant1, Ant2, East dist (m), North dist (m), Up dist (m)
1, 2, 6.168014, 15.241960, -0.025701
1, 3, -1.873193, 33.186967, -5.103255
1, 4, -38.722032, -23.426643, -3.183188
1, 5, 15.058209, 11.641809, 0.014703
1, 6, 25.151758, -1.377491, 0.043682
1, 7, 1.407575, -9.599518, -0.011677
1, 8, -34.404428, 32.986266, -6.611714
2, 3, -8.041207, 17.945008, -5.077554
2, 4, -44.890046, -38.668603, -3.157487
2, 5, 8.890195, -3.600151, 0.040404
2, 6, 18.983744, -16.619450, 0.069383
2, 7, -4.760439, -24.841478, 0.014024
2, 8, -40.572442, 17.744307, -6.586013
3, 4, -36.848839, -56.613610, 1.920068
3, 5, 16.931402, -21.545159, 5.117958
3, 6, 27.024951, -34.564458, 5.146937
3, 7, 3.280768, -42.786486, 5.091578
3, 8, -32.531235, -0.200701, -1.508459
4, 5, 53.780241, 35.068452, 3.197890
4, 6, 63.873790, 22.049152, 3.226870
4, 7, 40.129607, 13.827124, 3.171511
4, 8, 4.317604, 56.412909, -3.428526
5, 6, 10.093549, -13.019299, 0.028979
5, 7, -13.650634, -21.241327, -0.026380
5, 8, -49.462637, 21.344458, -6.626417
6, 7, -23.744183, -8.222028, -0.055359
6, 8, -59.556186, 34.363757, -6.655396
7, 8, -35.812003, 42.585785, -6.600037
