# Ant1, Ant2, East dist (m), North dist (m), Up dist (m)
1, 2, 251.587137, -335.615621, 18.625166
1, 3, 117.990250, -442.611350, 8.242533
1, 4, -98.098789, -293.044452, -6.035777
1, 5, 178.081796, -14.386773, -1.690268
1, 7, -227.453655, -167.656134, -17.586720
1, 8, 192.030137, -301.252356, 11.969404
2, 3, -133.596887, -106.995730, -10.382633
2, 4, -349.685926, 42.571169, -24.660943
2, 5, -73.505341, 321.228848, -20.315434
2, 7, -479.040792, 167.959486, -36.211886
2, 8, -59.557000, 34.363265, -6.655762
3, 4, -216.089039, 149.566898, -14.278309
3, 5, 60.091546, 428.224577, -9.932801
3, 7, -345.443905, 274.955216, -25.829252
3, 8, 74.039887, 141.358994, 3.726872
4, 5, 276.180585, 278.657679, 4.345508
4, 7, -129.354866, 125.388318, -11.550943
4, 8, 290.128926, -8.207904, 18.005181
5, 7, -405.535451, -153.269361, -15.896451
5, 8, 13.948341, -286.865583, 13.659673
7, 8, 419.483792, -133.596222, 29.556124
