AntA,AntB,t,p,h,Total,E-W,N-S,U-D,NE-SW,NW-SE
1.0,2.0,0.3536957694717293,0.0528483333154667,1.820979606486054,44.77095314983065,40.573425,17.744095,6.586541,16.142774052945484,41.23671385398211
1.0,3.0,0.2669935817573901,0.0514519589901283,1.394261828403284,16.442849999533387,6.168325,15.241993,0.027059,15.139381045160398,6.416052173035379
1.0,4.0,0.2980594779981685,0.0512755723674445,1.5298481441834988,59.33204113595487,44.88942,38.668625,3.157296,59.08446024219068,4.39876632887137
1.0,7.0,0.2717645984843699,0.0907313953654238,3.2370776735849542,25.23898606185286,11.519689,22.456649,0.045809,7.733598581566022,24.024898999686176
1.0,8.0,0.1984605650182602,0.0915540505815215,0.9392341502215612,9.593203418249503,8.891803,3.600503,0.042064,3.7415141112923775,8.833394285257393
2.0,3.0,0.5004613276199936,0.0532324131287964,2.2817056008252488,48.11998142678095,34.4051,32.986088,6.6136,1.0033930077850817,47.652766027017485
2.0,4.0,0.3888446983916896,0.0538767488901612,1.6991846902179657,56.681412402201566,4.315995,56.41272,3.429245,42.9416861892452,36.837947525110735
2.0,7.0,0.3868513188209197,0.0982719682132255,2.710330341711466,66.13456290694778,52.093114,40.200744,6.63235,8.409175471379461,65.26161285366828
2.0,8.0,0.3522097926622822,0.1000673807097882,2.130667277287433,54.28019020894836,49.465228,21.344598,6.628605,19.884288164237866,50.0701081392395
3.0,4.0,0.4917323569806502,0.0502762288356465,1.953446234989181,45.36816455153559,38.721095,23.426631,3.184355,43.9450784899235,10.814819209013526
3.0,7.0,0.3204833044578474,0.0972796884728381,2.9410871211709635,19.102812294482245,17.688014,7.214655,0.018749,7.405783170701157,17.60884611954402
3.0,8.0,0.3325038580166065,0.0954072373764916,1.48057979902209,19.035019567011226,15.060128,11.64149,0.015004,18.880895156452777,2.417342112222017
4.0,7.0,0.3219099688570737,0.0629392293913611,2.8642039278723983,58.77989128293172,56.409109,16.211976,3.203104,51.35086166062466,28.423665328557547
4.0,8.0,0.3494462821242236,0.0751080975968534,1.8163222836708264,64.28397181562612,53.781223,35.068122,3.19936,62.82597435348307,13.23216061412876
7.0,8.0,0.252731635939026,0.0916788501898508,3.119469921499271,19.038383356454847,2.627886,18.856146,0.003745,11.4751126928584,15.191504714428785
1.0,2.0,0.2485563917205611,0.0568651337995902,1.3370285262350945,44.77095314983065,40.573425,17.744095,6.586541,16.142774052945484,41.23671385398211
1.0,3.0,0.1508687238643788,0.0511364732861352,1.0806866497826766,16.442849999533387,6.168325,15.241993,0.027059,15.139381045160398,6.416052173035379
1.0,4.0,0.2819435342125609,0.0500889795292778,1.3314905454137935,59.33204113595487,44.88942,38.668625,3.157296,59.08446024219068,4.39876632887137
1.0,5.0,0.2503912294507576,0.0585895918268306,1.1706394176495676,25.29351092400533,4.759929,24.84159,0.013306,20.931434818322423,14.199878670589424
1.0,7.0,0.2468280065676378,0.0522185611333156,1.217743237263467,25.23898606185286,11.519689,22.456649,0.045809,7.733598581566022,24.024898999686176
1.0,8.0,0.1998892766549915,0.0530308655071962,0.770000189153933,9.593203418249503,8.891803,3.600503,0.042064,3.7415141112923775,8.833394285257393
2.0,3.0,0.2431317683970978,0.0542345352654365,1.1981782082104229,48.11998142678095,34.4051,32.986088,6.6136,1.0033930077850817,47.652766027017485
2.0,4.0,0.2545035241270249,0.0544938382730606,1.2301038139509806,56.681412402201566,4.315995,56.41272,3.429245,42.9416861892452,36.837947525110735
2.0,5.0,0.2815512342310661,0.0965193319188983,1.2974592515054628,56.03307173675223,35.813496,42.585686,6.599847,4.788661472483726,55.43659323167831
2.0,7.0,0.2766114070157952,0.0601362334269879,1.4256951927912334,66.13456290694778,52.093114,40.200744,6.63235,8.409175471379461,65.26161285366828
2.0,8.0,0.2588709242250473,0.0946959232505908,1.40051720348702,54.28019020894836,49.465228,21.344598,6.628605,19.884288164237866,50.0701081392395
3.0,4.0,0.2506790172395338,0.052176666584387,1.1467380512179095,45.36816455153559,38.721095,23.426631,3.184355,43.9450784899235,10.814819209013526
3.0,5.0,0.2088265236735604,0.098273782097749,1.0072379870221198,9.702372441842977,1.408396,9.599597,0.013753,5.792053773162029,7.783826497554045
3.0,7.0,0.1926851335310527,0.0998577156926217,0.9598748234887372,19.102812294482245,17.688014,7.214655,0.018749,7.405783170701157,17.60884611954402
3.0,8.0,0.2263986055614421,0.0999474035149887,1.150799140837336,19.035019567011226,15.060128,11.64149,0.015004,18.880895156452777,2.417342112222017
4.0,5.0,0.2984639174440351,0.0978615686699413,1.2985396659554924,42.56307829796432,40.129491,13.827034,3.170602,38.15302471676148,18.598645706567577
4.0,7.0,0.2852617663747528,0.0523628119075283,1.518507454632776,58.77989128293172,56.409109,16.211976,3.203104,51.35086166062466,28.423665328557547
4.0,8.0,0.2942710789587304,0.0987247335363576,1.3284292796250454,64.28397181562612,53.781223,35.068122,3.19936,62.82597435348307,13.23216061412876
5.0,7.0,0.2143251013025783,0.1005644588078098,1.1845343631969332,16.45341809318939,16.279618,2.384942,0.032502,13.197836943863186,9.825019621989972
5.0,8.0,0.2581944981414898,0.101845691489359,1.4486647507839217,25.249840257833952,13.651732,21.241088,0.028758,24.672949636721587,5.366485092438811
7.0,8.0,0.2095595738564845,0.0965385927702858,1.1989252396888093,19.038383356454847,2.627886,18.856146,0.003745,11.4751126928584,15.191504714428785
1.0,3.0,0.5718364773689765,0.0986236294180002,2.889440852211183,119.27530672172897,45.216904,110.36683,1.092347,46.06795446840176,110.014313353724
1.0,4.0,0.6078121768493602,0.0601299552203045,2.187707904060214,130.4228441472024,65.594522,112.588429,5.596661,125.99437294393032,33.22971031414997
1.0,5.0,0.6089850330236859,0.0836198198712736,2.340760188860709,103.11877431171048,79.930908,64.703397,7.615903,102.27189785770337,10.76747628869275
1.0,7.0,0.590449525417592,0.0999979776836754,2.65310348465524,225.99159424469323,3.163171,225.965103,1.402585,157.54475697866403,162.0181563069693
1.0,8.0,0.6122434672180934,0.0674168068958351,2.9630990034632583,211.82195957614832,62.046536,202.530394,0.457641,187.0841413485185,99.337088639048
3.0,4.0,0.3310770093112267,0.05976736538463,1.6633044429312291,111.03535687190976,110.811426,2.221599,6.689009,79.92641847552855,76.78460303957405
3.0,5.0,0.4486764630711951,0.0860819609728196,2.1908554705286623,133.50265008528982,125.147812,45.663433,8.70825,56.203943389301614,120.78178964241674
3.0,7.0,0.6738605695449421,0.0992671246518739,2.6978543919513465,123.01046064231474,42.053733,115.598273,0.310238,111.47680251026227,52.0038429532453
3.0,8.0,0.7574469628847381,0.094377696145159,3.028921616105807,141.42125284834316,107.26344,92.163563,0.634706,141.01618617300997,10.677225421782785
4.0,5.0,0.2970428010834421,0.0544480221108756,1.2465818224266991,50.02584923253762,14.336386,47.885032,2.019242,23.722475086226943,43.9971866028427
